saved_at,target_id,primary_supplier,alternative_supplier,allocation_shift_pct,scenario_id,scenario_name,delay_reduction_days,cost_delta,risk_reduction_pct,financial_savings,decision_confidence,recommended
2026-09-17T02:14:22.623799+00:00,forecast_deviation_2017-10_shop_by_sport__western_europe_,Demand Agent,Alternative Ground Carrier,20.0,scenario_a,Shift 20.0% Volume to Secondary Ground Carrier,0.8,12000,14.5,142500,94.2,True
2026-09-17T02:14:22.623799+00:00,forecast_deviation_2017-10_shop_by_sport__western_europe_,Demand Agent,Alternative Ground Carrier,20.0,scenario_b,Shift 20.0% Volume to Air Express Freight,1.4,45000,18.0,110000,89.5,False
2026-09-17T02:14:22.623799+00:00,forecast_deviation_2017-10_shop_by_sport__western_europe_,Demand Agent,Alternative Ground Carrier,20.0,scenario_c,Increase Warehouse Zone 1 Safety Stock Buffer (+15%),0.4,5500,8.2,48000,91.0,False
2026-09-17T02:14:23.015365+00:00,forecast_deviation_2017-10_shop_by_sport__western_europe_,Demand Agent,Alternative Ground Carrier,20.0,scenario_a,Shift 20.0% Volume to Secondary Ground Carrier,0.8,12000,14.5,142500,94.2,True
2026-09-17T02:14:23.015365+00:00,forecast_deviation_2017-10_shop_by_sport__western_europe_,Demand Agent,Alternative Ground Carrier,20.0,scenario_b,Shift 20.0% Volume to Air Express Freight,1.4,45000,18.0,110000,89.5,False
2026-09-17T02:14:23.015365+00:00,forecast_deviation_2017-10_shop_by_sport__western_europe_,Demand Agent,Alternative Ground Carrier,20.0,scenario_c,Increase Warehouse Zone 1 Safety Stock Buffer (+15%),0.4,5500,8.2,48000,91.0,False
2026-09-17T02:14:23.481808+00:00,forecast_deviation_2017-10_shop_by_sport__western_europe_,Demand Agent,Alternative Ground Carrier,20.0,scenario_a,Shift 20.0% Volume to Secondary Ground Carrier,0.8,12000,14.5,142500,94.2,True
2026-09-17T02:14:23.481808+00:00,forecast_deviation_2017-10_shop_by_sport__western_europe_,Demand Agent,Alternative Ground Carrier,20.0,scenario_b,Shift 20.0% Volume to Air Express Freight,1.4,45000,18.0,110000,89.5,False
2026-09-17T02:14:23.481808+00:00,forecast_deviation_2017-10_shop_by_sport__western_europe_,Demand Agent,Alternative Ground Carrier,20.0,scenario_c,Increase Warehouse Zone 1 Safety Stock Buffer (+15%),0.4,5500,8.2,48000,91.0,False
2026-09-17T02:22:03.394071+00:00,supplier_delay_main,Supplier Air Transport,Alternative Ground Carrier,20.0,scenario_a,Shift 20.0% Volume to Secondary Ground Carrier,0.8,12000,14.5,142500,94.2,True
2026-09-17T02:22:03.394071+00:00,supplier_delay_main,Supplier Air Transport,Alternative Ground Carrier,20.0,scenario_b,Shift 20.0% Volume to Air Express Freight,1.4,45000,18.0,110000,89.5,False
2026-09-17T02:22:03.394071+00:00,supplier_delay_main,Supplier Air Transport,Alternative Ground Carrier,20.0,scenario_c,Increase Warehouse Zone 1 Safety Stock Buffer (+15%),0.4,5500,8.2,48000,91.0,False
2026-09-17T02:22:03.953515+00:00,supplier_delay_main,Supplier Air Transport,Alternative Ground Carrier,20.0,scenario_a,Shift 20.0% Volume to Secondary Ground Carrier,0.8,12000,14.5,142500,94.2,True
2026-09-17T02:22:03.953515+00:00,supplier_delay_main,Supplier Air Transport,Alternative Ground Carrier,20.0,scenario_b,Shift 20.0% Volume to Air Express Freight,1.4,45000,18.0,110000,89.5,False
2026-09-17T02:22:03.953515+00:00,supplier_delay_main,Supplier Air Transport,Alternative Ground Carrier,20.0,scenario_c,Increase Warehouse Zone 1 Safety Stock Buffer (+15%),0.4,5500,8.2,48000,91.0,False
